"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000166148",81.0713484334904,-2.00616268208835,0.468693611623676,-4.28032862478856,1.86617544705175e-05,0.000536267601354037
"ENSG00000166211",1.3496038648333,-3.50391995853848,0.741027609368646,-4.72846074051655,2.26228357465301e-06,8.35710599869807e-05
"ENSG00000166250",186.09541958708,2.7080725961663,0.433851527962563,6.24193398346169,4.32193371202423e-10,3.14258177403598e-08
"ENSG00000166257",17.0020671069547,1.55883517786069,0.419896572606047,3.71242653443426,0.0002052816568503,0.00424392490583688
"ENSG00000166278",954.913494019548,-1.52140828768517,0.412609884800329,-3.68728027061546,0.000226663667418385,0.00463382592486339
"ENSG00000166321",51.0423342458996,-0.631236033700527,0.208988321604944,-3.02043687825662,0.00252410314106005,0.0321775169576622
"ENSG00000166341",501.914461333291,0.727903645955847,0.238347546217796,3.05395905058199,0.00225842905685686,0.0295459854037479
"ENSG00000166347",1219.93308818098,-1.96125382852998,0.306031358859106,-6.40866947701566,1.46795041268857e-10,1.15252927273139e-08
"ENSG00000166402",61.3878319865714,1.12800315607078,0.366670204223418,3.0763425636392,0.00209556935582026,0.0279659565654697
"ENSG00000166415",150.579240636755,-2.03437922134514,0.576754586654847,-3.52728746058953,0.000419840678820423,0.00772877049227336
"ENSG00000166426",6.83208860875432,2.50047552815071,0.631226989422892,3.96129375018772,7.45447567194308e-05,0.00176942670600695
"ENSG00000166444",910.585287775978,0.624268934594867,0.190476018601351,3.27741486397511,0.00104762318163267,0.0161920356923349
"ENSG00000166482",1316.92231029234,1.48998209235245,0.380022824442555,3.92077000779642,8.82664750985812e-05,0.00204751474812012
"ENSG00000166573",6.32702408612983,2.70929770224678,0.715763830036174,3.7851838672958,0.000153594974599316,0.00331981985098663
"ENSG00000166736",9.42636552806401,1.92957229112481,0.602853750963071,3.20073033972547,0.00137079755365017,0.019966405382395
"ENSG00000166741",1806.04002192792,-2.94022138357662,0.547421949786113,-5.37103304813666,7.82868589623194e-08,3.9441119913777e-06
"ENSG00000166828",58.2679284541565,3.27722360498276,0.727947930492091,4.50200277754395,6.73161017869941e-06,0.00021850378481107
"ENSG00000166840",262.853956796387,-4.66144724732076,0.764617830366643,-6.09644068211899,1.08456168100878e-09,7.30766523355502e-08
"ENSG00000166856",12.6370886079194,-3.585332276078,0.485317571601688,-7.38760037936678,1.49502262120605e-13,1.72384240147264e-11
"ENSG00000166863",8.7495884723135,1.66647450438412,0.356402236990713,4.67582504098465,2.92774142233402e-06,0.000104646819865993
"ENSG00000166923",1510.58090651503,2.10556593441729,0.386316912395605,5.45035919178475,5.0268189271088e-08,2.59904457773479e-06
"ENSG00000166960",2.28330392384245,2.50104908295748,0.711843588341146,3.51348122525881,0.000442275668390501,0.00806126651788588
"ENSG00000166963",234.673817889683,1.21804330286128,0.309366034741976,3.93722376109315,8.24297368131826e-05,0.00192835202639871
"ENSG00000166997",187.850249411993,0.584080538637098,0.179572889959293,3.25260978296613,0.00114350413418071,0.0173241819294954
"ENSG00000167080",973.568303226889,3.48604111481261,0.725923663760748,4.80221445978589,1.56920495622716e-06,6.01448542193435e-05
"ENSG00000167210",4.50738683736796,2.41890987385814,0.472716663339341,5.11703957455318,3.10368519324959e-07,1.39301883640997e-05
"ENSG00000167244",4199.15239070524,-4.93823830401857,0.565142528813496,-8.73804049818423,2.37188482299074e-18,4.47701383232732e-16
"ENSG00000167332",25.3227666676692,3.81464597618525,0.601658266716012,6.34022033305793,2.2943680039592e-10,1.74663517826264e-08
"ENSG00000167434",1951.41026622221,3.27436930183052,0.706742513840843,4.63304419601946,3.6032757619674e-06,0.000126980912337976
"ENSG00000167617",1064.96578599817,1.01391307716458,0.316984401844459,3.19862135570348,0.00138086401458433,0.0200705962626134
"ENSG00000167654",10.7401273300494,2.54914147953314,0.695838314758984,3.66341063069527,0.00024887907554637,0.0050042114880325
"ENSG00000167711",1797.50597561447,-6.28761966923051,0.694127259503948,-9.05830967324911,1.3248765902733e-19,2.90226162538901e-17
"ENSG00000167768",2.37592743304014,2.45654629683467,0.779531643167674,3.15131055726275,0.00162539565346444,0.0226683468715451
"ENSG00000167772",197.5455318812,-1.5170357806025,0.485181388562836,-3.1267394347012,0.00176756508654813,0.0242036030491852
"ENSG00000167779",164.375096501091,1.13162716028018,0.361467660437424,3.13064565419423,0.00174422479729503,0.0239737391340929
"ENSG00000167798",270.516073471013,-6.72391266701301,1.1234457791194,-5.98507982493243,2.16283762358054e-09,1.40574243468473e-07
"ENSG00000167800",86.588109053686,2.09147851789168,0.491970912674162,4.25122393216952,2.12605461068603e-05,0.000600305460668911
